"id_1","id_2","cmp_fname_c1","cmp_fname_c2","cmp_lname_c1","cmp_lname_c2","cmp_sex","cmp_bd","cmp_bm","cmp_by","cmp_plz","Class"
77853,80668,1,NA,1,NA,1,1,1,1,1,"TRUE"
15688,61018,1,NA,1,NA,1,1,1,1,1,"TRUE"
13390,70257,1,NA,1,NA,1,1,1,1,1,"TRUE"
68018,68019,1,NA,1,NA,1,1,1,1,1,"TRUE"
27465,29922,1,NA,1,NA,1,1,1,1,1,"TRUE"
20947,47739,1,NA,1,NA,1,1,1,1,1,"TRUE"
23583,44551,1,NA,1,NA,1,1,1,1,1,"TRUE"
20455,30542,1,NA,1,NA,0,1,1,1,1,"TRUE"
14143,97281,1,NA,1,NA,1,1,1,1,1,"TRUE"
38668,45937,1,NA,1,NA,1,1,1,1,1,"TRUE"
43962,70461,1,NA,1,NA,1,1,1,1,1,"TRUE"
27315,31780,1,NA,1,NA,1,1,1,1,1,"TRUE"
24556,28431,1,1,1,NA,1,1,1,1,1,"TRUE"
92251,92252,1,NA,1,NA,1,1,1,1,1,"TRUE"
10210,88716,1,NA,1,NA,1,1,1,1,1,"TRUE"
70387,74825,1,NA,1,1,1,1,1,1,1,"TRUE"
33567,48550,1,NA,1,NA,1,1,1,1,1,"TRUE"
1829,2167,1,NA,1,NA,1,1,1,1,1,"TRUE"
2263,2270,1,NA,1,NA,1,1,1,1,1,"TRUE"
27921,29061,1,NA,1,NA,1,1,1,1,1,"TRUE"
30086,63731,1,NA,1,NA,1,1,1,1,1,"TRUE"
98706,98710,1,NA,1,NA,1,1,1,1,1,"TRUE"
34116,72187,1,NA,1,NA,1,1,1,1,1,"TRUE"
16688,28641,1,NA,1,NA,1,1,1,1,1,"TRUE"
89431,98469,1,NA,1,NA,1,1,1,1,1,"TRUE"
40562,49487,1,NA,1,NA,1,1,1,1,1,"TRUE"
3337,29786,1,NA,1,NA,1,1,1,1,1,"TRUE"
94106,94658,1,NA,1,NA,1,1,1,1,1,"TRUE"
39687,41868,1,NA,1,NA,1,1,1,1,1,"TRUE"
2812,3727,1,NA,1,NA,1,1,1,1,1,"TRUE"
20975,84997,1,NA,1,NA,1,1,1,1,1,"TRUE"
12762,12763,1,NA,1,NA,1,1,1,1,1,"TRUE"
46030,51302,1,NA,1,NA,1,1,1,1,1,"TRUE"
27133,42570,1,NA,1,NA,1,1,1,1,1,"TRUE"
61887,61888,1,NA,1,NA,1,1,1,1,1,"TRUE"
32681,35586,1,NA,1,NA,1,1,1,1,1,"TRUE"
38657,48451,1,NA,1,NA,1,1,1,1,1,"TRUE"
41218,41950,1,NA,1,NA,1,1,1,1,1,"TRUE"
17382,21101,1,NA,1,NA,1,1,1,1,1,"TRUE"
94493,94495,1,NA,1,NA,1,1,1,1,1,"TRUE"
11037,80741,1,NA,1,NA,1,1,1,1,1,"TRUE"
30678,40277,1,NA,1,NA,1,1,1,1,1,"TRUE"
38345,86840,1,1,1,NA,1,1,1,1,1,"TRUE"
41095,46966,1,NA,1,NA,1,1,1,1,1,"TRUE"
79590,82831,1,NA,1,NA,1,1,1,1,1,"TRUE"
9465,9466,1,NA,1,NA,1,1,1,1,1,"TRUE"
24015,33228,1,NA,1,NA,1,1,1,1,1,"TRUE"
13395,61974,1,NA,1,NA,1,1,1,1,1,"TRUE"
41838,44876,1,NA,1,NA,1,1,1,1,1,"TRUE"
68998,68999,1,NA,1,NA,1,1,1,1,1,"TRUE"
9763,14126,1,NA,0.2,NA,1,0,1,1,0,"FALSE"
17859,39274,1,NA,0,NA,1,1,0,0,0,"FALSE"
20919,89701,0.25,NA,0.25,NA,0,1,1,1,0,"FALSE"
726,31503,0,NA,1,NA,1,0,0,0,0,"FALSE"
3041,44607,0.4,NA,0,NA,1,1,0,0,0,"FALSE"
54843,71372,0.4,NA,0.857142857142857,NA,1,0,0,0,0,"FALSE"
1039,74162,0,NA,0,NA,0,1,1,1,0,"FALSE"
13559,77239,1,NA,0.3,NA,1,0,0,1,0,"FALSE"
34273,38066,1,NA,0.307692307692308,NA,1,0,1,0,0,"FALSE"
45805,79014,0.166666666666667,NA,1,NA,1,0,0,0,0,"FALSE"
15816,28253,0.111111111111111,NA,1,NA,1,0,1,0,1,"FALSE"
45017,72468,0.75,NA,0.125,NA,1,0,1,0,0,"FALSE"
1240,82891,0,NA,0.166666666666667,NA,1,1,1,1,0,"FALSE"
7518,97750,1,NA,0,NA,1,1,0,0,0,"FALSE"
25108,64013,0,0,0.666666666666667,NA,1,0,0,0,0,"FALSE"
47001,59126,1,1,0.375,NA,1,0,1,0,0,"FALSE"
14206,17773,0.142857142857143,NA,1,NA,1,0,0,1,0,"FALSE"
15087,63900,0.4,NA,0.111111111111111,NA,1,0,1,0,0,"FALSE"
19710,86585,1,NA,0.333333333333333,NA,1,0,1,0,0,"FALSE"
25852,80353,0.166666666666667,NA,1,NA,1,0,0,0,0,"FALSE"
28941,68543,1,NA,0.285714285714286,NA,1,0,1,0,0,"FALSE"
55751,89024,1,NA,0.166666666666667,NA,1,0,1,0,0,"FALSE"
77519,96866,1,NA,0,NA,1,0,0,1,0,"FALSE"
47367,80773,1,NA,0.125,NA,1,0,1,0,0,"FALSE"
17516,89105,1,NA,0,NA,1,1,0,0,0,"FALSE"
19600,25193,1,NA,0.125,NA,1,0,1,0,0,"FALSE"
4168,44239,1,NA,0.222222222222222,NA,1,1,0,0,0,"FALSE"
73094,97129,0.285714285714286,NA,1,NA,1,0,0,0,0,"FALSE"
13955,19271,1,NA,0,NA,1,0,1,0,0,"FALSE"
89484,92491,0,NA,0.625,NA,1,0,1,0,0,"FALSE"
11820,98501,1,NA,0.166666666666667,NA,1,0,1,0,0,"FALSE"
34986,89189,1,NA,0.3,NA,1,0,1,0,0,"FALSE"
33179,91543,1,NA,0.181818181818182,NA,1,0,1,0,0,"FALSE"
85587,91135,1,NA,0.1,NA,1,1,0,0,0,"FALSE"
60709,98173,0.4,NA,0.111111111111111,NA,1,0,0,1,0,"FALSE"
43679,90387,0.125,NA,0.666666666666667,NA,1,0,0,0,0,"FALSE"
14500,59198,1,NA,0.181818181818182,NA,1,0,1,0,0,"FALSE"
56351,64464,1,NA,0.333333333333333,NA,1,0,1,0,0,"FALSE"
56607,70843,0,NA,0.833333333333333,NA,1,0,0,0,0,"FALSE"
2133,5515,1,NA,0.222222222222222,NA,1,0,0,1,0,"FALSE"
19163,37585,1,NA,0.142857142857143,NA,1,0,1,0,0,"FALSE"
23081,41668,1,NA,0,NA,1,1,0,0,0,"FALSE"
82026,90942,0,NA,0.857142857142857,NA,1,0,0,0,0,"FALSE"
45274,89969,1,NA,0.0769230769230769,NA,1,0,0,1,0,"FALSE"
33939,46092,0.166666666666667,NA,1,NA,1,0,0,0,0,"FALSE"
51183,76548,0.142857142857143,NA,0.25,NA,1,0,0,0,0,"FALSE"
70035,85535,0.4,NA,0.125,NA,1,0,1,0,0,"FALSE"
46383,73926,1,NA,0.166666666666667,NA,1,0,1,0,0,"FALSE"
42544,60661,0.222222222222222,NA,0.666666666666667,NA,1,0,0,0,0,"FALSE"
26478,97891,0.166666666666667,NA,1,NA,1,0,0,0,0,"FALSE"
5712,93957,0.4,NA,0.125,NA,1,0,1,0,0,"FALSE"
18727,74815,1,NA,0,NA,1,0,0,1,0,"FALSE"
9852,48595,1,NA,0.25,NA,1,1,0,0,0,"FALSE"
7714,28202,0.444444444444444,NA,1,NA,1,0,0,0,0,"FALSE"
53424,82826,1,NA,0.166666666666667,NA,1,0,1,0,0,"FALSE"
27618,32465,1,NA,0,NA,1,1,0,1,0,"FALSE"
50240,71205,1,NA,0.181818181818182,NA,1,0,1,0,0,"FALSE"
10483,87066,1,NA,1,NA,1,0,0,0,0,"FALSE"
8701,56214,1,NA,0,NA,1,1,0,0,0,"FALSE"
14414,40748,0.222222222222222,NA,0.125,NA,1,1,1,1,0,"FALSE"
13890,89678,1,NA,0.333333333333333,NA,1,0,1,0,0,"FALSE"
20394,68341,1,NA,0.333333333333333,NA,1,0,0,1,0,"FALSE"
18722,76534,1,NA,0.222222222222222,NA,1,1,0,0,0,"FALSE"
54905,84648,1,NA,0.111111111111111,NA,1,0,1,0,0,"FALSE"
8239,29807,0,NA,1,NA,1,0,0,0,0,"FALSE"
76240,87202,0.4,NA,0.25,NA,1,0,1,0,0,"FALSE"
18891,28561,1,NA,0.428571428571429,NA,1,0,1,0,0,"FALSE"
14900,51463,1,NA,0,NA,1,0,1,0,0,"FALSE"
9854,60643,0.75,NA,0,NA,1,0,0,1,0,"FALSE"
