"","sum.of.sum","sum.of.mean","sum.of.std","sum.of.min","sum.of.max","sum.of.kurtosis","sum.of.skewness","mean.of.sum","mean.of.mean","mean.of.std","mean.of.min","mean.of.max","mean.of.kurtosis","mean.of.skewness","std.of.sum","std.of.mean","std.of.std","std.of.min","std.of.max","std.of.kurtosis","std.of.skewness","min.of.sum","min.of.mean","min.of.std","min.of.min","min.of.max","min.of.kurtosis","min.of.skewness","max.of.sum","max.of.mean","max.of.std","max.of.min","max.of.max","max.of.kurtosis","max.of.skewness","kurtosis.of.sum","kurtosis.of.mean","kurtosis.of.std","kurtosis.of.min","kurtosis.of.max","kurtosis.of.kurtosis","kurtosis.of.skewness","skew.of.sum","skew.of.mean","skew.of.std","skew.of.min","skew.of.max","skew.of.kurtosis","skew.of.skewness","sum.of.Levels","mean.of.Levels","std.of.Levels","min.of.Levels","max.of.Levels","kurtosis.of.Levels","skew.of.Levels","numFeatures","logNumFeatures","numPatterns","logNumPatterns","numPatternsNA","percPatternsNA","numFeaturesNA","percFeaturesNA","numNA","percNA","logNumNAs","numNumericFeatures","numCatFeatures","classProbMin","classProbMax","classProbMean","classProbStd","PCAFractionOfComponentsFor95PercentVariance","PCAKurtosisFirstPC","PCASkewnessFirstPC","Class.Entropy"
"accident.csv",2.22764515167562e-13,1.09359063318307e-16,30.8290427106194,-216.792005061633,271.725214017263,1103.85080835128,23.3978959096957,8.25053759879858e-15,4.05033567845583e-18,1.14181639668961,-8.02933352080121,10.0638968154542,40.8833632722696,0.866588737396136,1.18024165842663e-13,5.83700315971547e-17,0.389823940040131,6.11641550572793,9.24847409245728,96.0882309781292,4.15217751285965,-1.80383485925972e-13,-9.3739626767641e-17,0.684101242182594,-25.9122156751486,2.94958827508954,-0.672676810944364,-5.87957749156521,4.27238106004424e-13,2.08413674943196e-16,2.26462434890655,-2.71143119326695,39.7887285934373,459.874985478365,16.2289495392804,3.76416846757128,3.52883496354266,0.794879929874776,1.82400314922457,4.13414564238342,10.863428885554,5.87859504858007,1.65888560085655,1.58104047745593,1.24883567217726,-1.69065541376923,2.21408178908694,3.29116001163632,2.30199948174719,2080,231.111111111111,514.029290129571,2,1521,1.44799697670004,1.71055732159687,36,3.58351893845611,2001,7.60140233458373,0,0,0,0,0,0,-Inf,0,10,0.0734632683658171,0.926536731634183,0.5,0.603214030727355,0.577777777777778,-0.649328575754689,0.225634681826151,0.262506595666338
"ad.csv",1.40401579251659e-13,6.91726201161149e-17,2.82747232328377,-12.2156781214206,20.5677707588832,47.7853636949881,3.99902924216783,4.68005264172196e-14,2.3057540038705e-17,0.942490774427924,-4.07189270714019,6.85592358629438,15.928454564996,1.33300974738928,8.94641785203297e-14,4.48008881350423e-17,0.409349129933581,4.58685846243583,2.30048183587745,6.17612062214018,1.52688585104519,-1.71668235182665e-14,-8.87786703577887e-18,0.498359511910066,-9.36456245576428,4.67108461512431,10.6942744530534,-0.429517166985614,1.49033563268119e-13,7.42703412340444e-17,1.30465378759708,-1.25233614417814,9.25680617022972,22.7404206448843,2.25306185240157,-2.33333333333333,-2.33333333333333,-2.33333333333333,-2.33333333333333,-2.33333333333333,-2.33333333333333,-2.33333333333333,0.349471367252874,0.350622226597898,-0.19221155133273,-0.382431434384587,0.0930840692433698,0.238793181036111,-0.383782698960641,3110,2,0,2,2,0,0,1558,7.35115822643069,2001,7.60140233458373,0,0,0,0,0,0,-Inf,0,1556,0.139930034982509,0.860069965017491,0.5,0.509215827930942,0.0754898811435914,1.15147672335619,-0.642445797513151,0.404836457938331
"adni_demographic_master_kaggle.csv",-3.77232967085916e-14,-1.13749468551076e-17,1,-3.16376224284239,2.48800609235354,0.271645503669056,-0.497366617913932,-3.77232967085916e-14,-1.13749468551076e-17,1,-3.16376224284239,2.48800609235354,0.271645503669056,-0.497366617913932,NA,NA,NA,NA,NA,NA,NA,-3.77232967085916e-14,-1.13749468551076e-17,1,-3.16376224284239,2.48800609235354,0.271645503669056,-0.497366617913932,-3.77232967085916e-14,-1.13749468551076e-17,1,-3.16376224284239,2.48800609235354,0.271645503669056,-0.497366617913932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,267.333333333333,458.705061377497,2,797,-2.33333333333333,0.38489812151668,4,1.38629436111989,3013,8.0106915391303,0,0,0,0,0,0,-Inf,0,4,0.405907733156323,0.594092266843677,0.5,0.133066559884757,0.666666666666667,0.292730058368101,-0.489213957687883,0.675334452884133
"adult-stretch.csv",76,4,4.03433521530372,0,8,-15.7115947764147,1.30451205393456e-15,9.5,0.5,0.504291901912965,0,1,-1.96394934705184,1.6306400674182e-16,1.92724822331886,0.101434117016782,0.00929777714053211,0,0,0.137448638697818,0.38730121551382,7,0.368421052631579,0.495594627783352,0,1,-2.09252077562327,-0.503047178577087,12,0.631578947368421,0.512989176042577,0,1,-1.83537791848041,0.503047178577087,-1.58200813609467,-1.58200813609467,-2.234375,0,0,-2.234375,-1.5750017760258,0,-7.54798612225713e-16,-1.56754450861048e-14,0,0,1.04382802586116e-15,1.16638979312118e-17,8,2,0,2,2,0,0,4,1.38629436111989,19,2.94443897916644,0,0,0,0,0,0,-Inf,0,5,0.421052631578947,0.578947368421053,0.5,0.111648439134718,0.5,-0.90345711519782,-0.235644866151059,0.680629487891663
"adult.csv",-1.88351070851134e-13,-9.36861752212563e-17,5.98039451922742,-24.1585472035031,37.7380767398221,39.5023540504643,4.49363540524626,-3.13918451418556e-14,-1.56143625368761e-17,0.996732419871237,-4.02642453391718,6.28967945663702,6.58372567507738,0.74893923420771,4.68425820154907e-14,2.33547242891598e-17,0.08848378276924,1.60964013849639,2.09102989101743,3.66100323158591,1.00662771341097,-8.77561912027147e-14,-4.3808161364434e-17,0.882295519324805,-6.00065300500376,2.41003667420238,2.73494169144578,-1.15730326043918,3.98049648797638e-14,1.98785298618716e-17,1.1456766250798,-1.5671569482685,8.30491689377367,12.7182413861291,1.73715377790617,-1.61093784712162,-1.60810912822041,-1.17761439571683,-1.56207432692202,-0.823186814407265,-1.41540367711921,-0.687936752552099,0.190623034922561,0.18678969673755,0.419540165967242,0.145799725565726,-0.838875279445359,0.564152645989568,-0.943606942457632,95,11.875,10.8685325596421,2,36,0.160959887041236,1.21481660353591,14,2.63905732961526,2001,7.60140233458373,0,0,0,0,0,0,-Inf,0,9,0.24087956021989,0.75912043978011,0.5,0.366451640225112,0.575757575757576,0.984532576526484,0.293252893453895,0.552091660213235
"adult+stretch.csv",76,4,4.08098579817746,0,8,-16.4128934777134,8.60422844084496e-16,9.5,0.5,0.510123224772183,0,1,-2.05161168471418,1.07552855510562e-16,1.19522860933439,0.0629067689123365,0.00306383078314446,0,0,0.0437336577674876,0.234711792093368,8,0.421052631578947,0.507257273501788,0,1,-2.09252077562327,-0.294888797753432,11,0.578947368421053,0.512989176042577,0,1,-2.01070259380509,0.294888797753432,-1.744375,-1.744375,-2.234375,0,0,-2.234375,-1.73945178223322,0,-1.15687672440482e-16,0,0,0,6.6833904343877e-15,-1.02507209875756e-15,8,2,0,2,2,0,0,4,1.38629436111989,19,2.94443897916644,0,0,0,0,0,0,-Inf,0,5,0.368421052631579,0.631578947368421,0.5,0.186080731891197,0.5,-1.16274632312406,0.188351158618587,0.658109987543114
"AP_Endometrium_Breast.csv",-6.70876548758415e-13,-5.12181633705585e-15,912.323066744415,-3054.38631804011,2874.2545355174,200.544330705312,-5.78726165289682,-6.70876548758415e-15,-5.12181633705585e-17,9.12323066744415,-30.5438631804011,28.742545355174,2.00544330705312,-0.0578726165289682,2.86094590738844e-13,2.18384724282132e-15,4.57248530243171,15.133871623821,13.408235476741,1.62698244239464,0.486670950683143,-1.0325074129014e-12,-7.8811798054611e-15,4.98256916879283,-81.5013929762473,11.6431614154747,-0.657247597548632,-1.07346642886419,6.3593574850529e-13,4.85247841696302e-15,31.8377778818968,-13.707358689094,71.4663916920164,11.579627714096,1.80938904279798,1.20917517332967,1.20858438956194,6.98238000183151,2.30674694000686,0.719254661446862,10.5287212304747,1.11044276967756,-0.507653486985536,-0.507608981019134,2.37519611118561,-1.66046266618802,1.0852389236172,2.28839502017803,0.609330387781764,2,2,NA,2,2,0,0,101,4.61512051684126,131,4.87519732320115,0,0,0,0,0,0,-Inf,0,2,0.152671755725191,0.847328244274809,0.5,0.49119631364867,0.813725490196078,-0.657298914642078,-0.244941078833115,0.427315660477878
"AP_Endometrium_Lung.csv",-1.54190375745156e-12,-8.25056864056811e-15,1042.60226789265,-3361.53233066433,3551.25303488155,211.455955796254,5.61345025002025,-1.10928327874213e-14,-5.93566089249505e-17,7.50073574023486,-24.1836858321175,25.5485829847594,1.5212658690378,0.0403845341728076,3.74861813243917e-13,2.00457164500236e-15,4.31753812974659,12.5081107752074,17.47491321819,1.43657612261779,0.430211245217145,-9.92705917468584e-13,-5.3089171131122e-15,3.97182490013841,-68.1537358734169,9.96234421235944,-1.05104080806295,-1.24349132057891,2.12195538917825e-12,1.1347814213852e-14,30.419747229581,-10.5110324788146,113.3825088841,11.2330705514992,2.5705233881542,7.196250839137,7.19782283752436,9.27713695418823,2.06263769382318,10.156971904189,14.4569145547914,8.22401654605924,1.31645638664883,1.31664413455555,2.7305310683358,-1.5113827734462,2.87818922441757,2.90789464981705,1.2581769498687,2,2,NA,2,2,0,0,140,4.9416424226093,187,5.23110861685459,0,0,0,0,0,0,-Inf,0,2,0.32620320855615,0.67379679144385,0.5,0.245785779556821,0.794326241134752,-1.05140098376574,0.266490733273555,0.631457140969783
"AP_Endometrium_Omentum.csv",-3.83555860683504e-12,-2.77990765271151e-14,920.728640804847,-2857.48905250791,2996.84961348155,166.699687013232,7.3062994794842,-3.68803712195677e-14,-2.67298812760722e-16,8.85316000773892,-27.4758562741145,28.8158616680918,1.60288160589646,0.070252879610425,3.41730194489372e-13,2.47614363679248e-15,4.66731755219686,13.7535273841787,18.3599149802513,2.14069936885433,0.532888299288967,-1.00272568026583e-12,-7.26543674256991e-15,4.73342054102014,-77.9021080647031,10.9980406660294,-0.760519070083766,-0.998263005097381,1.23789867245705e-12,8.96938773253808e-15,29.6337411610071,-12.2818323879285,104.248242925414,15.3294697071197,2.81910694750541,3.07460449156534,3.07392432572214,5.67043378738604,1.79123592589629,6.02467455904843,18.7116705787325,6.52873725366403,0.717282334304776,0.716966189009853,2.22967663546871,-1.47051212357784,2.32370757134739,3.81784697594373,1.83341333932293,2,2,NA,2,2,0,0,105,4.65396035015752,138,4.92725368515721,0,0,0,0,0,0,-Inf,0,2,0.442028985507246,0.557971014492754,0.5,0.0819833949201794,0.80188679245283,0.725549380140866,0.748497403540261,0.686410763437599
"arsenic-male-bladder.csv",2.71310751642773e-15,1.97386860633005e-18,3.39350381732333,-24.0969874827596,5.91209420042762,41.8668297020618,-5.76080183578662,9.04369172142575e-16,6.57956202110017e-19,1.13116793910778,-8.03232916091986,1.97069806680921,13.9556099006873,-1.92026727859554,5.68678798620857e-15,1.2438814515923e-17,0.2602930952036,2.32864795738935,0.786730733707691,15.905913335926,1.92836164024548,-5.6621374255883e-15,-1.37047809495216e-17,0.938305349909693,-9.95033471429492,1.368157155579,-0.577531643177382,-3.88817796308195,4.20496970576778e-15,7.92844658441189e-18,1.42723768610647,-5.44129013084504,2.86074147109013,30.947864540579,-0.034051292755691,-2.33333333333333,-2.33333333333333,-2.33333333333333,-2.33333333333333,-2.33333333333333,-2.33333333333333,-2.33333333333333,-0.384884062416156,-0.384811267267955,0.334167262215369,0.264879879383262,0.316636511643531,0.150908317830094,-0.0422887870622805,2,2,NA,2,2,0,0,4,1.38629436111989,559,6.3261494731551,0,0,0,0,0,0,-Inf,0,2,0.0429338103756708,0.957066189624329,0.5,0.646389204268919,0.6,-0.484647709713948,-0.0655075632586293,0.177158414983875
